ลำดับที่,ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,East,North,ลักษณะสำคัญ
11,บ้านหาดบ้าย,ริมโขง,เชียงของ,เชียงราย,เหนือ,630705.4762,2252612.606,บ้านหาดบ้าย เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนชาติพันธุ์ของชาวไทลื้อ ประวัติศาสตร์ชุมชน เดิมตั้งอยู่ที่เมืองอูเหนือ แคว้นสิบสองปันนา มณฑลยูนนาน ประเทศจีนตอนใต้ ต่อมาการทำมาหากินขัดสนและถูกจีนรุกราน จึงได้อพยพ ย้ายหนีออกมาอยู่บ้านหาดบ้าย ปัจจุบันมีชนเผ่าอื่นเข้ามาอยู่ด้วยในบริเวณใกล้เคียง โดยชาวบ้านหาดบ้ายยินดีและยอมรับมากขึ้น ลักษณะภูมิประเทศตั้งอยู่บนพื้นที่ราบลุ่มฝั่งแม่น้ำโขงทางด้านตอนเหนือของดอยหลวง ชายแดนระหว่างอำเภอเชียงของ-เชียงแสน รวมทั้งชายแดนประเทศไทยและลาว มีแม่น้ำโขงกั้นพรมแดนลักษณะเป็นพื้นที่เกษตรกรรมในพื้นที่ใกล้ริมแม่น้ำโขง เป็นชุมชนที่มีอาชีพทอผ้า โดยกระจายตัวภายในชุมชนในบ้านเรือนแต่ละหลัง บ้านเรือนส่วนใหญ่ยังคงเป็นรูปแบบโบราณชาวไทลื้อ
12,บ้านดอยหัวแม่คำ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,เหนือ,564170.6501,2237620.36,"บ้านดอยหัวแม่คำ เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวอาข่า ลาหู่ ที่ได้อพยพมาจากพม่ามาอยู่ประเทศไทยเมื่อ พ.ศ. 2423 ที่ดอยพญาไพร ตำบลเทอดไทย อำเภอแม่ฟู่หลวง จังหวัดเชียงราย ปี พ.ศ. 2462 มีการย้ายถิ่นฐานบ่อยครั้ง เพื่อเปลี่ยนที่ทำกินและหนีโรคระบาด ลักษณะภูมิประเทศตั้งอยู่บนสันเขา ตะเข็บชายแดนไทย-พม่า อยู่สูงจากระดับน้ำทะเลปานกลาง 1,850 เมตร สภาพโดยรอบเป็นที่เขาสูงชัน มีป่าธรรมชาติหนาแน่น ทางทิศตะวันตกเป็นพื้นที่เพาะปลูกทางทิศตะวันออก มีสภาพเป็นชุมชนเรือนไม้หลังคามุงจากแบบดั้งเดิม มีอาคารสมัยใหม่อยู่น้อยใช้สำหรับรองรับการท่องเที่ยว พื้นที่ชุมชนอยู่ผสานไปกับพื้นที่ป่า มีภูมิทัศน์กว้าง มองเห็นพื้นที่ระดับต่ำลงไปได้อย่างทั่วถึง อาชีพหลัก คือ ทำนา ทำสวน ทำไร่ และอาชีพเสริม คือ ทำเสื่อกก"
13,บ้านห้วยน้ำขุ่น,แม่ฟ้าหลวง,แม่ฟ้าหลวง,เชียงราย,เหนือ,587049.0955,2241202.7,บ้านห้วยน้ำขุ่น เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนชาติพันธุ์ของชาวไทใหญ่ ไทลื้อ ลัวะ อาข่า ลาหู่ และลีซอ มีชื่อเดิมว่า บ้านใหม่สูง ประชากรส่วนใหญ่เป็นชาวไทใหญ่ สื่อสารด้วยตัวอักษรไทใหญ่ เป็นชุมชนต้นแบบของชุมชนพลัดถิ่น ลักษณะภูมิประเทศ เป็นป่าอุดมสมบูรณ์ มีไม้ไผ่ และไม้ตองเป็นส่วนใหญ่ มีเส้นทางน้ำไหลผ่านกลางหมู่บ้าน โดยแหล่งน้ำในบ้านห้วยน้ำขุ่นมี 2 แห่ง คือ ลำห้วยช้าง และลำห้วยแม่ไร่ บ้านห้วยน้ำขุ่นถูกรายล้อมด้วยภูเขาและธรรมชาติที่มีความอุดมสมบูรณ์ ผู้คนส่วนใหญ่มีอาชีพค้าขาย ทำเกษตรกรรม และเลี้ยงสัตว์
14,บ้านสันติคีรี,แม่สลองนอก,แม่ฟ้าหลวง,เชียงราย,เหนือ,563739.1832,2230984.839,"บ้านสันติคีรี เป็นชุมชนเกษตรกรรม ชุมชนตลาด และชุมชนชาติพันธุ์โดยเป็นหมู่บ้านของชาวจีนอพยพกองพลที่ 93 ที่มาจากประเทศจีน บริเวณดอยแม่สลองประกอบด้วยหลายชุมชน ในตำบลแม่สลอง มีเชื้อชาติ 2 กลุ่ม ได้แก่ จีนฮ่อ (ยูนนาน) และอาข่า เป็นส่วนใหญ่ ลักษณธภูมิประเทศ เป็นพื้นที่บนภูเขาสูงจากระดับน้ำทะเลเฉลี่ย 1,200 เมตร เป็นยอดดอยหนึ่งในภูเขาแดนลาว เป็นชุมชนค้าขายขนาดใหญ่บนพื้นที่ของดอยแม่สลอง ส่วนใหญ่เป็นร้านค้าดั้งเดิมโบราณค้าขายอาหารจีนยูนนาน และชา รูปแบบอาคารยังคงเป็นสถาปัตยกรรมแบบจีนดั้งเดิม ผู้คนส่วนใหญ่มีอาชีพทำการเกษตรกรรมและค้าขาย โดยปลูกชาจีน กาแฟ พืชผัก และดอกไม้เมืองหนาว"
15,บ้านแสนเจริญเก่า,วาวี,แม่สรวย,เชียงราย,เหนือ,555035.9005,2181987.84,บ้านแสนเจริญเก่า เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวอาข่า (อีก้อ) เดิมมีชื่อว่า หมู่บ้านห้วยป่าเคาะ เนื่องจากมีป่าเคาะมาก ตั้งอยู่ตามแนวเขา มีป่าไม้ที่อุดมสมบูรณ์ และมีระบบจัดการป่าที่ค่อนข้างดีเพราะมีความเชื่อในเรื่องการรักษาป่า น้ำ ดิน และอากาศ ลักษณะภูมิประเทศ ที่ตั้งของชุมชนจะอยู่ตามแนวเขา มีป่าไม้ที่อุดมสมบูรณ์โดยเฉพาะป่าเบญจพรรณ บ้านเรือนส่วนใหญ่ถูกปรับเปลี่ยนจากรูปแบบของชาวอาข่าเดิม โดยส่วนมากเป็นบ้านไม้สองชั้นปลูกไล่เลียงไปตามไหล่เขา และในแต่ละหลังมีพื้นที่เก็บผลิตผลทางการเกษตร โดยส่วนใหญ่จะปลูกข้าวโพด พืชตระกูลถั่ว และลิ้นจี่
16,บ้านห้วยขี้เหล็ก,วาวี,แม่สรวย,เชียงราย,เหนือ,554314.0449,2187398.358,บ้านห้วยขี้เหล็ก เป็นชุมชนเกษตรกรรรม และชุมชนชาติพันธุ์ของชาวอาข่า ลักษณะภูมิประเทศจะอยู่บนเนินเขาและไหล่เขาทอดยาว สูงจากระดับน้ำทะเลประมาณ 800 เมตร พื้นที่ชุมชนมีภูเขาล้อมรอบ มีป่าไม้ รวมทั้งเป็นแหล่งรวมของพืชพันธุ์ สมุนไพรที่มีสรรพคุณยอดเยี่ยม มีเขตป่าอนุรักษ์และเขตป่าใช้สอย บ้านเรือนส่วนใหญ่ยังคงเป็นรูปแบบสถาปัตยกรรมพื้นถิ่นของชาวอาข่า ตั้งอยู่กระจายโดยรอบชุมชน มีอาชีพทำเกษตรกรรม และป่าสมุนไพร
17,บ้านป่าส้าน,เวียงกาหลง,เวียงป่าเป้า,เชียงราย,เหนือ,556583.5191,2124369.705,บ้านป่าส้านเป็นชุมชนเกษตรกรรม โดยชุมชนก่อตั้งขึ้นเมื่อประมาณ พ.ศ. 2420 โดยกลุ่มชาวล้านนาที่อพยพมาจากบ้านถ้ำ บ้านขอ บ้ามเอื้อม และบ้านแจ้ห่ม ในเขตจังหวัดลำปาง โดยชื่อของชุมชน มาจากบริเวณที่ตั้งนั้นมีป่าไม้ที่อุดมสมบูรณ์และมีไม้ส้านขึ้นหนาแน่น หมู่บ้านตั้งอยู่บนที่ลาดเชิงเขาระหว่างป่ากับพื้นราบ มีถนนตัดผ่านกลางหมู่บ้าน มีแม่น้ำลาวอยู่ทางด้านทิศตะวันตกของหมู่บ้าน เป็นหมู่บ้านที่มีความอุดมสมบูรณ์ของป่าไม้ และมีระบบจัดการป่าที่ดี ส่วนใหญ่ทำอาชีพเกษตรกรรม
18,บ้านห้วยน้ำริน,แม่เจดีย์ใหม่,เวียงป่าเป้า,เชียงราย,เหนือ,591071.1596,2259487.08,บ้านห้วยน้ำริน เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนชาติพันธุ์ของชนเผ่าลาหู่ แซแล มูเซอดำ ที่อาศัยอยู่รวมกันมานานแล้ว มีวัฒนธรรมของแต่ละชนเผ่า และโดดเด่นเรื่องการละเล่นเครื่องดนตรี ลักษณะภูมิประเทศตั้งอยู่บนที่ลาดเชิงเขาระหว่างป่ากับพื้นราบ พื้นที่ราบมีเพียงเล็กน้อย มีลำห้วยน้ำริน และลำห้วยแม่โถน้อย ไหลผ่านจากใต้ไปเหนือไปรวมกับแม่น้ำลาว เรื่อยลงสู่แม่น้ำโขง มีถนนตัดผ่านกลางหมู่บ้าน มีแม่น้ำลาวอยู่ทางด้านทิศตะวันตกของหมู่บ้าน บ้านเรือนส่วนใหญ่ยังคงเป็นเรือนพื้นถิ่นดั้งเดิม โดยในแต่ละหลังจะมียุ้งข้าวและคอกไก่ประจำบ้าน รวมไปถึงครกกระเดื่องตำข้าว มีอาชีพทำเกษตรกรรม ปลูกข้าวไร่ ข้าวโพด หัตถกรรมของชาวเขา การทอผ้า และทำเครื่องเงินแบบกรรมวิธีโบราณ
19,บ้านห้วยหินลาดใน,บ้านโป่ง,เวียงป่าเป้า,เชียงราย,เหนือ,539844.9993,2133766.29,"บ้านห้วยหินลาดใน เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวกะเหรี่ยงปกาเกอะญอ มีการตั้งถิ่นฐานประมาณ 80-100 ปีมาแล้ว มีจำนวน 22 ครัวเรือน ลักษณะภูมิประเทศล้อมรอบด้วยภูเขาที่สลับซับซ้อนของเทือกเขาอุทยานแห่งชาติขุนแจ เป็นต้นกำเนิดลำห้วยที่สำคัญกว่า 14 ลำห้วย ที่ไหลมารวมกัน เรียกบริเวณนี้ว่า หินลาดโกละ มีผืนป่าอนุรักษ์กว่า 10,000 ไร่ และบ้านเรือนส่วนใหญ่เป็นรูปแบบสมัยใหม่ โดยมีการแบ่งพื้นที่อย่างชัดเจน ส่วนใหญ่มีอาชีพทำเกษตรกรรม"
20,เวียงกาหลง,บ้านโป่ง,เวียงป่าเป้า,เชียงราย,เหนือ,556632.035,2123280.983,"เวียงกาหลง เป็นชุมชนเกษตรกรรม และเป็นชุมชนที่อยู่โดยรอบโบราณสถาน คือเมืองโบราณเวียงกาหลง สร้างขึ้นในช่วงประมาณ พ.ศ. 1500-1600 ซึ่งอยู่ในอาณาจักรแว่นแคว้นยวนเชียง (ซึ่งสันนิษฐานว่าเป็นเมืองเชียงลาวหรือเชียงรายในปัจจุบัน) จากการขุดค้นบริเวณเมืองโบราณ พบเตาเผาเครื่องเคลือบกว่า 200 เตา แสดงให้เห็นว่าในอดีตเมืองนี้เป็นชุมชนใหญ่ และตั้งอยู่ท่ามกลางเมืองต่าง ๆ ของอาณาจักรล้านนา ลักษณะภูมิประเทศตั้งอยู่บนเทือกเขาดอยดงในเทือกเขาดอยหลวง ในเขตบ้านป่าส้าน เมืองโบราณเวียงกาหลง ตั้งอยู่บนเนินเขา มีกำแพงคันดินและคูเมืองล้อมรอบ แบ่งออกเป็นสองส่วนใหญ่ ๆ มีพื้นที่ทั้งหมดประมาณ 431 ไร่ คูเมืองและกำแพงคันดินโดยรอบยาว 3,350 เมตร ส่วนใหญ่มีอาชีพปั้นเครื่องปั้นดินเผา ทำเกษตรกรรม"
21,เชียงแสน,บ้านโป่ง,เชียงแสน,เชียงราย,เหนือ,613179.8165,2242203.102,เชียงแสน เป็นชุมชนริมน้ำ ชุมชนความทรงจำ และชุมชนที่อยู่โดยรอบโบราณสถาน เดิมเมืองเชียงแสนเป็นศูนย์กลางของอาณาจักรล้านนาในยุคแรก ๆ เดิมชื่อว่าเวียงหิรัญนครเงินยาง และในระยะเวลาต่อมา พญามังรายได้ส่งพญาแสนภูผู้เป็นหลานมาควบคุมดูแลเมืองบริเวณที่ราบลุ่มแม่น้ำกกและแม่น้ำโขง โดยในระยะแรก พญาแสนภูเข้ามาพักชั่วคราวบริเวณปากแม่น้ำกก (เชียงแสนน้อยในปัจจุบัน) ต่อมาได้ช่วยสร้างเมืองเชียงแสนขึ้นตรงบริเวณพื้นที่ที่เคยเป็นเมืองเก่าเดิม ลักษณะภูมิประเทศ เป็นชุมชนโบราณตั้งอยู่ริมฝั่งแม่น้ำโขง มีคูน้ำล้อมรอบ และมีกำแพงเมือง 3 ด้าน ยกเว้นด้านทิศตะวันออกเพราะใช้น้ำเป็นคูปราการ มีซากกำแพงเมืองโบราณ 2 ชั้น และโบราณสถานหลายแห่ง ภายในเขตกำแพงเก่าประกอบด้วยวัดร้างและโบราณสถานที่สร้างระหว่าง พุทธศตวรรษที่ 18-21 ส่วนใหญ่ผู้คนในชุมชนประกอบอาชีพค้าขาย
